ID_Caracteristica,Nombre_Caracteristica,ID_Valor,Nombre_Valor
26269,"PANTALLA",3745551,"PANTALLA: LCD CON RETROILUMINACION LED 33.9"" 3440X1440 PIXELES"
26269,"PANTALLA",1675425,"PANTALLA: LCD CON RETROILUMINACION LED 15.0"" 1024X768 PIXELES"
26269,"PANTALLA",1675426,"PANTALLA: LCD CON RETROILUMINACION LED 28.2"" 3840X2560 PIXELES"
26269,"PANTALLA",1675427,"PANTALLA: LCD CON RETROILUMINACION LED 43"" 3840 x 2160 PIXELES"
26269,"PANTALLA",1675428,"PANTALLA: LCD CON RETROILUMINACION LED 55"" 3840 x 2160 PIXELES"
26269,"PANTALLA",1675429,"PANTALLA: LCD CON RETROILUMINACION LED 50"" 3840 x 2160 PIXELES"
26269,"PANTALLA",1675430,"PANTALLA: LCD CON RETROILUMINACION LED 65"" 3840 x 2160 PIXELES"
26269,"PANTALLA",1675431,"PANTALLA: LCD CON RETROILUMINACION LED 32.0"" 1920X1080 PIXELES"
26269,"PANTALLA",1675432,"PANTALLA: LCD CON RETROILUMINACION LED 34.0"" 3440X1440 PIXELES"
26269,"PANTALLA",1675433,"PANTALLA: LCD CON RETROILUMINACION LED 25.0"" 2560X1080 PIXELES"
26269,"PANTALLA",1675434,"PANTALLA: LCD CON RETROILUMINACION LED 30.0"" 2560X1600 PIXELES"
26269,"PANTALLA",1675435,"PANTALLA: LCD CON RETROILUMINACION LED 31.5"" 1920X1080 PIXELES"
26269,"PANTALLA",1675436,"PANTALLA: LCD CON RETROILUMINACION LED 27.0"" 2560X1440 PIXELES"
26269,"PANTALLA",1675437,"PANTALLA: LCD CON RETROILUMINACION LED 32.0"" 1366X768 PIXELES"
26269,"PANTALLA",1675438,"PANTALLA: LCD CON RETROILUMINACION LED 24.0"" 1920X1080 PIXELES"
26269,"PANTALLA",1675439,"PANTALLA: LCD CON RETROILUMINACION LED 27.0"" 3840X2160 PIXELES"
26269,"PANTALLA",1675440,"PANTALLA: LCD CON RETROILUMINACION LED 49.0"" 1920X1080 PIXELES"
26269,"PANTALLA",1675441,"PANTALLA: LCD CON RETROILUMINACION LED 75.0"" 3480X2160 PIXELES"
26269,"PANTALLA",1675442,"PANTALLA: LCD CON RETROILUMINACION LED 37.5"" 3840X1600 PIXELES"
26269,"PANTALLA",1675443,"PANTALLA: LCD CON RETROILUMINACION LED 24.0"" 1920X1200 PIXELES"
26269,"PANTALLA",1675444,"PANTALLA: LCD CON RETROILUMINACION LED 23.8"" 1920X1080 PIXELES"
26269,"PANTALLA",1675445,"PANTALLA: LCD CON RETROILUMINACION LED 23.6"" 1920X1080 PIXELES"
26269,"PANTALLA",1675446,"PANTALLA: LCD CON RETROILUMINACION LED 19.45"" 1600X900 PIXELES"
26269,"PANTALLA",1675447,"PANTALLA: LCD CON RETROILUMINACION LED 21.5"" 1920X1080 PIXELES"
26269,"PANTALLA",1675448,"PANTALLA: LCD CON RETROILUMINACION LED 23.0"" 1920X1080 PIXELES"
26269,"PANTALLA",1675449,"PANTALLA: LCD CON RETROILUMINACION LED 27.0"" 1920X1080 PIXELES"
26269,"PANTALLA",1675450,"PANTALLA: LCD CON RETROILUMINACION LED 22.5"" 1920X1200 PIXELES"
26269,"PANTALLA",1675451,"PANTALLA: LCD CON RETROILUMINACION LED 20.0"" 1600X900 PIXELES"
26269,"PANTALLA",1675452,"PANTALLA: LCD CON RETROILUMINACION LED 32"" 3840X2160 PIXELES"
26269,"PANTALLA",1675453,"PANTALLA: LCD CON RETROILUMINACION LED 31.5"" 2560X1440 PIXELES"
26269,"PANTALLA",1675454,"PANTALLA: LCD CON RETROILUMINACION LED 19.5"" 1600X900 PIXELES"
26269,"PANTALLA",1675455,"PANTALLA: LCD CON RETROILUMINACION LED 42.5"" 3840X2160 PIXELES"
26269,"PANTALLA",1675456,"PANTALLA: LCD CON RETROILUMINACION LED 20.7"" 1920X1080 PIXELES"
26269,"PANTALLA",1675457,"PANTALLA: LCD CON RETROILUMINACION LED 31.1"" 1920X1200 PIXELES"
26269,"PANTALLA",1675458,"PANTALLA: LCD CON RETROILUMINACION LED 48.9"" 3840X1080 PIXELES"
26269,"PANTALLA",1675459,"PANTALLA: LCD CON RETROILUMINACION LED 18.5"" 1440X900 PIXELES"
26269,"PANTALLA",1675460,"PANTALLA: LCD CON RETROILUMINACION LED 31.1"" 4096X2160 PIXELES"
26269,"PANTALLA",1675461,"PANTALLA: LCD CON RETROILUMINACION LED 31.5"" 3840X2160 PIXELES"
26269,"PANTALLA",1675462,"PANTALLA: LCD CON RETROILUMINACION LED 49.0"" 5120X1440 PIXELES"
26269,"PANTALLA",1675463,"PANTALLA: LCD CON RETROILUMINACION LED 19.5"" 1366X768 PIXELES"
26269,"PANTALLA",1675464,"PANTALLA: LCD CON RETROILUMINACION LED 28.0"" 1920X1080 PIXELES"
26269,"PANTALLA",1675465,"PANTALLA: LCD CON RETROILUMINACION LED 42.0"" 1920X1080 PIXELES"
26269,"PANTALLA",1675466,"PANTALLA: LCD CON RETROILUMINACION LED 27.0"" 5120X2880 PIXELES"
26269,"PANTALLA",1675467,"PANTALLA: LCD CON RETROILUMINACION LED 29.0"" 2560X1080 PIXELES"
26269,"PANTALLA",1675468,"PANTALLA: LCD CON RETROILUMINACION LED 17.0"" 1280X1024 PIXELES"
26269,"PANTALLA",1675469,"PANTALLA: LCD CON RETROILUMINACION LED 27.0"" 1980X1080 PIXELES"
26269,"PANTALLA",1675470,"PANTALLA: LCD CON RETROILUMINACION LED 19.5"" 1440X900 PIXELES"
26269,"PANTALLA",1675471,"PANTALLA: LCD CON RETROILUMINACION LED 22.0"" 1680X1050 PIXELES"
26269,"PANTALLA",1675472,"PANTALLA: LCD CON RETROILUMINACION LED 23.8"" 2560X1440 PIXELES"
26269,"PANTALLA",1675473,"PANTALLA: LCD CON RETROILUMINACION LED 29.9"" 2560X1600 PIXELES"
26269,"PANTALLA",1675474,"PANTALLA: LCD CON RETROILUMINACION LED 23.5"" 1366X768 PIXELES"
26269,"PANTALLA",1675475,"PANTALLA: LCD CON RETROILUMINACION LED 19.5"" 1920X1080 PIXELES"
26269,"PANTALLA",1675476,"PANTALLA: LCD CON RETROILUMINACION LED 18.5"" 1366X768 PIXELES"
26269,"PANTALLA",1675477,"PANTALLA: LCD CON RETROILUMINACION LED 78.0"" 4096X4096 PIXELES"
26269,"PANTALLA",1675478,"PANTALLA: LCD CON RETROILUMINACION LED 39.0"" 1360X768 PIXELES"
26269,"PANTALLA",1675479,"PANTALLA: LCD CON RETROILUMINACION LED 22.0"" 1920X1080 PIXELES"
26269,"PANTALLA",1675480,"PANTALLA: LCD CON RETROILUMINACION LED 31.5"" 1366X768 PIXELES"
26269,"PANTALLA",1675481,"PANTALLA: LCD CON RETROILUMINACION LED 28.0"" 3840X2160 PIXELES"
26269,"PANTALLA",1675482,"PANTALLA: LCD CON RETROILUMINACION LED 27.5"" 1366X768 PIXELES"
26269,"PANTALLA",1675483,"PANTALLA: LCD CON RETROILUMINACION LED 23.0"" 1366X768 PIXELES"
26269,"PANTALLA",1675484,"PANTALLA:LCD CON RETROILUMINACION LED 23.8"" 3840X2160 PIXELES"
26269,"PANTALLA",1675485,"PANTALLA: LCD CON RETROILUMINACION LED 34.0"" 2560X1080 PIXELES"
26269,"PANTALLA",1675486,"PANTALLA: LCD CON RETROILUMINACION LED 15.6"" 1366X768 PIXELES"
